acc	p	set
0.6999999999999998	1	montastier
0.8074074074074072	2	montastier
0.7851851851851851	5	montastier
0.8333333333333334	10	montastier
0.8037037037037036	20	montastier
0.7444444444444446	50	montastier
0.7481481481481482	100	montastier
0.6481481481481481	200	montastier
	500	montastier
	1000	montastier
	2000	montastier
	5000	montastier
	10000	montastier
0.7272727272727273	1	patel
0.8424242424242424	2	patel
0.8303030303030303	5	patel
0.8424242424242424	10	patel
0.8545454545454545	20	patel
0.8545454545454545	50	patel
0.8484848484848484	100	patel
0.8363636363636363	200	patel
0.8	500	patel
0.7515151515151515	1000	patel
0.696969696969697	2000	patel
0.6727272727272726	5000	patel
	10000	patel
0.6823529411764706	1	hess
0.6470588235294118	2	hess
0.7764705882352941	5	hess
0.7294117647058824	10	hess
0.7529411764705882	20	hess
0.7294117647058824	50	hess
0.6941176470588235	100	hess
0.7294117647058824	200	hess
0.7058823529411764	500	hess
0.7411764705882353	1000	hess
0.7882352941176469	2000	hess
0.8	5000	hess
0.776470588235294	10000	hess
1.0	1	bottomly
1.0	2	bottomly
1.0	5	bottomly
1.0	10	bottomly
1.0	20	bottomly
1.0	50	bottomly
1.0	100	bottomly
1.0	200	bottomly
1.0	500	bottomly
1.0	1000	bottomly
1.0	2000	bottomly
1.0	5000	bottomly
1.0	10000	bottomly
