acc	set	p
1	bottomly	1
1	bottomly	2
1	bottomly	5
1	bottomly	10
1	bottomly	20
1	bottomly	50
1	bottomly	100
1	bottomly	200
1	bottomly	500
1	bottomly	1000
1	bottomly	2000
1	bottomly	5000
1	bottomly	10000
0.718114973262032	patel	1
0.767168003565062	patel	2
0.859792780748663	patel	5
0.877807486631016	patel	10
0.865875668449198	patel	20
0.865686274509804	patel	50
0.87156862745098	patel	100
0.859614527629234	patel	200
0.841232174688057	patel	500
0.787221479500891	patel	1000
0.727885472370767	patel	2000
0.715385472370766	patel	5000
NA	patel	10000
0.714814814814815	montastier	1
0.759259259259259	montastier	2
0.777777777777778	montastier	5
0.762962962962963	montastier	10
0.766666666666667	montastier	20
0.711111111111111	montastier	50
0.707407407407407	montastier	100
0.648148148148148	montastier	200
NA	montastier	500
NA	montastier	1000
NA	montastier	2000
NA	montastier	5000
NA	montastier	10000
0.743382352941176	hess	1
0.743382352941176	hess	2
0.793382352941176	hess	5
0.743382352941176	hess	10
0.706617647058824	hess	20
0.768382352941177	hess	50
0.696323529411765	hess	100
0.694852941176471	hess	200
0.742647058823529	hess	500
0.719117647058824	hess	1000
0.719852941176471	hess	2000
0.707352941176471	hess	5000
0.694852941176471	hess	10000
