acc	set	p
0.710714285714286	shen	1
1	shen	2
0.975	shen	5
0.946428571428571	shen	10
0.921428571428571	shen	20
NA	shen	50
NA	shen	100
NA	shen	200
0.737600267379679	patel	1
0.810728609625668	patel	2
0.834792780748663	patel	5
0.841243315508021	patel	10
0.842346256684492	patel	20
0.733756684491979	patel	50
0.646635472370766	patel	100
NA	patel	200
0.533333333333333	montastier	1
0.544444444444444	montastier	2
0.625925925925926	montastier	5
0.703703703703704	montastier	10
0.681481481481481	montastier	20
0.648148148148148	montastier	50
0.655555555555556	montastier	100
NA	montastier	200
0.647058823529412	hess	1
0.755882352941176	hess	2
0.780147058823529	hess	5
0.671323529411765	hess	10
0.656617647058824	hess	20
0.707352941176471	hess	50
NA	hess	100
NA	hess	200
