acc	set	p
0.95	shen	2
1	shen	5
1	shen	10
1	shen	20
1	shen	50
1	shen	100
1	shen	200
1	shen	500
1	shen	1000
1	shen	2000
1	shen	5000
1	shen	10000
0.817234848484849	patel	2
0.847348484848485	patel	5
0.872159090909091	patel	10
0.853787878787879	patel	20
0.835795454545455	patel	50
0.835795454545455	patel	100
0.878409090909091	patel	200
0.890340909090909	patel	500
0.878219696969697	patel	1000
0.865909090909091	patel	2000
0.872159090909091	patel	5000
NA	patel	10000
0.777777777777778	montastier	2
0.825925925925926	montastier	5
0.82962962962963	montastier	10
0.837037037037037	montastier	20
0.825925925925926	montastier	50
0.825925925925926	montastier	100
0.82962962962963	montastier	200
NA	montastier	500
NA	montastier	1000
NA	montastier	2000
NA	montastier	5000
NA	montastier	10000
0.661029411764706	hess	2
0.709722222222222	hess	5
0.731944444444444	hess	10
0.720833333333333	hess	20
0.733333333333333	hess	50
0.709722222222222	hess	100
0.684722222222222	hess	200
0.734722222222222	hess	500
0.758333333333333	hess	1000
0.733333333333333	hess	2000
0.733333333333333	hess	5000
0.733333333333333	hess	10000
