acc	set	p
0.975	shen	2
1	shen	5
1	shen	10
1	shen	20
1	shen	50
1	shen	100
1	shen	200
1	shen	500
1	shen	1000
1	shen	2000
1	shen	5000
1	shen	10000
0.84692513368984	patel	2
0.841243315508021	patel	5
0.853386809269162	patel	10
0.82269385026738	patel	20
0.741454991087344	patel	50
0.737054367201426	patel	100
0.73099376114082	patel	200
0.706539661319073	patel	500
0.718850267379679	patel	1000
0.712967914438503	patel	2000
0.712967914438503	patel	5000
NA	patel	10000
0.777777777777778	montastier	2
0.818518518518519	montastier	5
0.818518518518519	montastier	10
0.8	montastier	20
0.744444444444444	montastier	50
0.755555555555556	montastier	100
0.748148148148148	montastier	200
NA	montastier	500
NA	montastier	1000
NA	montastier	2000
NA	montastier	5000
NA	montastier	10000
0.781617647058824	hess	2
0.745588235294118	hess	5
0.672058823529412	hess	10
0.658088235294118	hess	20
0.619117647058824	hess	50
0.620588235294118	hess	100
0.620588235294118	hess	200
0.670588235294118	hess	500
0.660294117647059	hess	1000
0.660294117647059	hess	2000
0.660294117647059	hess	5000
0.660294117647059	hess	10000
