Probe.Set.ID	UniGene.ID	Gene.Title	Gene.Symbol	RefSeq.Transcript.ID
1007_s_at	Hs.520004	discoidin domain receptor family, member 1	DDR1	NM_001954 
1053_at	Hs.139226	replication factor C (activator 1) 2, 40kDa	RFC2	NM_002914 /// NM_181471 
117_at	Hs.3268	heat shock 70kDa protein 6 (HSP70B')	HSPA6	NM_002155 
121_at	Hs.469728	paired box gene 8	PAX8	NM_003466 /// NM_013951 /// NM_013952 /// NM_013953 /// NM_013992 
1255_g_at	Hs.92858	guanylate cyclase activator 1A (retina)	GUCA1A	NM_000409 
1294_at	Hs.16695	ubiquitin-activating enzyme E1-like	UBE1L	NM_003335 
1316_at	Hs.724	thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)	THRA	NM_003250 /// NM_199334 
1320_at	Hs.437040	protein tyrosine phosphatase, non-receptor type 21	PTPN21	NM_007039 
1405_i_at	Hs.514821	chemokine (C-C motif) ligand 5	CCL5	NM_002985 
1431_at	Hs.12907	cytochrome P450, family 2, subfamily E, polypeptide 1	CYP2E1	NM_000773 
1438_at	Hs.2913	EPH receptor B3	EPHB3	NM_004443 
1487_at	Hs.110849	estrogen-related receptor alpha	ESRRA	NM_004451 
1494_f_at	Hs.558317	cytochrome P450, family 2, subfamily A, polypeptide 6	CYP2A6	NM_000762 
1598_g_at	Hs.369201	growth arrest-specific 6	GAS6	NM_000820 
160020_at	Hs.2399	matrix metallopeptidase 14 (membrane-inserted)	MMP14	NM_004995 
1729_at	Hs.460996	TNFRSF1A-associated via death domain	TRADD	NM_003789 /// NM_153425 
1773_at	Hs.509651	farnesyltransferase, CAAX box, beta	FNTB	NM_002028 
177_at	Hs.478230	phospholipase D1, phophatidylcholine-specific	PLD1	NM_002662 
179_at	Hs.559035	postmeiotic segregation increased 2-like 11	PMS2L11	XM_496904 
1861_at	Hs.370254	BCL2-antagonist of cell death	BAD	NM_004322 /// NM_032989 
200000_s_at	Hs.181368	PRP8 pre-mRNA processing factor 8 homolog (yeast) /// PRP8 pre-mRNA processing factor 8 homolog (yeast)	PRPF8	NM_006445 
